sourceId,titleRu,slugSuggestion,categorySuggestion,directionSuggestion,priceRaw,priceAmountRub,durationRaw,sourceUrl,sourceItemUrl,downloadedImagePaths,notes
vk-service-029,"Вальпургиева Ночь - Время Огня, Силы и Перехода",valpurgieva-noch-vremya-ognya-sily-i-perehoda,Обучение,other,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/valpurgieva-noch-vremya-ognya-sily-i-perekhoda-226854094-13449468,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-030,"Денежный марафон ""Восстановление и усиление денежного потока""",denezhnyy-marafon-vosstanovlenie-i-usilenie-denezhnogo-potoka,Обучение,money,5 500 ₽,5500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/denezhny-marafon-quotvosstanovlenie-i-usilenie-denezhnogo-potokaquot-226854094-13449467,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-031,"7 дней воплощения Силы Живы. Марафон ""Стань носителем Жизни""",7-dney-voploscheniya-sily-zhivy-marafon-stan-nositelem-zhizni,Обучение,transformation,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/7-dney-voploschenia-sily-zhivy-marafon-quotstan-nositelem-zhizniquot-226854094-13449465,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-032,ВСТРЕЧА «НАПОЛНЕНИЕ ЖИВОЙ»,vstrecha-napolnenie-zhivoy,Обучение,consultation,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/vstrecha-napolnenie-zhivoj-226854094-13449464,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-033,Встреча с Пиковой Дамой,vstrecha-s-pikovoy-damoy,Обучение,consultation,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/vstrecha-s-pikovoy-damoy-226854094-13449463,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-034,ВСТРЕЧА «МУДРОСТЬ ЯГИ»,vstrecha-mudrost-yagi,Обучение,consultation,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/vstrecha-mudrost-yagi-226854094-13449462,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-035,"Марафон+встреча ""Масленичная неделя""",marafonvstrecha-maslenichnaya-nedelya,Обучение,transformation,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/marafonvstrecha-quotmaslenichnaya-nedelyaquot-226854094-13449461,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-036,Громница. (изготовление свечей),gromnitsa-izgotovlenie-svechey,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/gromnitsa-izgotovlenie-svechey-226854094-13449459,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-037,Пробуждение Огня и Живы. Имболк/Громница,probuzhdenie-ognya-i-zhivy-imbolkgromnitsa,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/probuzhdenie-ognya-i-zhivy-imbolkgromnitsa-226854094-13449456,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-038,Зимнее Солнцестояние,zimnee-solntsestoyanie,Обучение,other,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/zimnee-solntsestoyanie-226854094-13449445,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-039,ПРОБУЖДЕНИЕ ОГНЯ. ВСТУПЛЕНИЕ В СИЛУ. Весеннее Равноденствие,probuzhdenie-ognya-vstuplenie-v-silu-vesennee-ravnodenstvie,Обучение,other,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/probuzhdenie-ognya-vstuplenie-v-silu-vesennee-ravnodenstvie-226854094-13449442,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-040,Самайн,samayn,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/samayn-226854094-13449439,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-041,Осеннее Равноденствие,osennee-ravnodenstvie,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/osennee-ravnodenstvie-226854094-13449414,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-042,Чествуем Домового,chestvuem-domovogo,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/chestvuem-domovogo-226854094-13449412,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-043,Медовый Спас,medovyy-spas,Обучение,other,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/medovy-spas-226854094-13449402,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-044,Хлебный/Ореховый Спас,hlebnyyorehovyy-spas,Обучение,other,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/khlebnyorekhovy-spas-226854094-13449390,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-045,Яблочный Спас,yablochnyy-spas,Обучение,other,2 500 ₽,2500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/yablochny-spas-226854094-13449389,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-046,Лугнасад,lugnasad,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/lugnasad-226854094-13449387,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-047,Купало,kupalo,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/kupalo-226854094-13449378,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-048,Сила Рода,sila-roda,Обучение,rod,1 900 ₽,1900,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/sila-roda-226854094-13449368,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-049,Весенние Деды. Почитание Предков,vesennie-dedy-pochitanie-predkov,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/vesennie-dedy-pochitanie-predkov-226854094-13449360,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-050,Культ Плодородия,kult-plodorodiya,Обучение,rod,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/kult-plodorodia-226854094-13449322,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-051,Весеннее Равноденствие,vesennee-ravnodenstvie,Обучение,other,1 500 ₽,1500,,https://vk.com/uslugi-226854094?section_id=HUkaVBkFWVZxRwcDWVg2,https://vk.com/market/product/vesennee-ravnodenstvie-226854094-13449317,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-052,Определение (диагностика) негатива,opredelenie-diagnostika-negativa,Консультация,diagnostics,3 500 ₽,3500,,https://vk.com/uslugi-226854094?section=album_2,https://vk.com/market/product/opredelenie-diagnostika-negativa-226854094-10099588,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-053,Ответ на один вопрос,otvet-na-odin-vopros,Консультация,consultation,500 ₽,500,,https://vk.com/uslugi-226854094?section=album_2,https://vk.com/market/product/otvet-na-odin-vopros-226854094-10043177,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-054,Консультация,konsultatsiya,Консультация,consultation,7 500 ₽,7500,,https://vk.com/uslugi-226854094?section=album_2,https://vk.com/market/product/konsultatsia-226854094-9833939,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-055,Разбор ситуации на метафорических картах,razbor-situatsii-na-metaforicheskih-kartah,Консультация,tarot,9 500 ₽,9500,,https://vk.com/uslugi-226854094?section=album_2,https://vk.com/market/product/razbor-situatsii-na-metaforicheskikh-kartakh-226854094-10041234,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
